,PUE,ISO3_COUNTRY_CODE,total_wall_clock_time,total_power,kg_carbon,carbon_cost,exp_name,exp_set
0,1,CAN,2.399899265567462,0.02143483015011908,0.0006430449045035724,-5.2843377052024e-06,sub-1013261,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.2295231364170711,0.012013418594303132,0.00036040255782909396,-2.9616731460735633e-06,sub-1040584,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.9763734730747011,0.022462149888462013,0.0006738644966538604,-5.537603273000429e-06,sub-3171661,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.295540538099077,0.010298185316470813,0.0003089455594941244,-2.53881596363786e-06,sub-1005221,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.0938643638955223,0.013909715996315306,0.0004172914798894592,-3.4291681433070552e-06,sub-1032539,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.260959193110466,0.016223371004861955,0.00048670113014585864,-3.999554487069406e-06,sub-1042997,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,2.4597460330857173,0.022438386546793167,0.000673151596403795,-5.531744886369752e-06,sub-2014383,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,2.267478272186385,0.019677629547522703,0.000590328886425681,-4.8511343005160865e-06,sub-3672652,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.8369982141918606,0.01688943078167183,0.0005066829234501548,-4.163758484388954e-06,sub-1076471,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,2.1813895416259768,0.01674600563522386,0.0005023801690567158,-4.128399822624845e-06,sub-1085566,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.6996176216337415,0.01922635343803379,0.0005767906031410137,-4.7398810111674855e-06,sub-5142605,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.5956741291284562,0.014741906391296272,0.00044225719173888816,-3.634328391898097e-06,sub-2826442,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.4328147025240792,0.01522840891889339,0.00045685226756680177,-3.7542660649401883e-06,sub-1047553,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.2151403499974145,0.015508092528249532,0.00046524277584748596,-3.823216582956751e-06,sub-1599957,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.4781105928288565,0.014545052241600936,0.0004363515672480281,-3.585797855459261e-06,sub-1000011,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.7928192463848327,0.013212967680837882,0.00039638903042513645,-3.2573984876238657e-06,sub-2810142,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.6431869896915223,0.02999154358104992,0.0008997463074314976,-7.393827871394755e-06,sub-4140526,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.4455842844645181,0.01883020245131057,0.0005649060735393171,-4.642217741552867e-06,sub-1474044,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.4897751986318164,0.021586447718946435,0.0006475934315683931,-5.321716048306325e-06,sub-1012146,fastsurferRecon_run1_cpu_prune_0
