,label,dice,cohort,subject_id
42,62.0,0.022727272727272728,NC,sub-0128
43,63.0,0.6265251989389921,NC,sub-0128
44,1030.0,0.7215189873417721,NC,sub-0128
45,1031.0,0.8192103768225715,NC,sub-0128
46,72.0,0.25,NC,sub-0128
47,77.0,0.5687266915290357,NC,sub-0128
48,1034.0,0.846092820309401,NC,sub-0128
49,85.0,0.006993006993006993,NC,sub-0128
50,251.0,0.0008960573476702509,NC,sub-0128
51,252.0,0.0017889087656529517,NC,sub-0128
52,253.0,0.002044989775051125,NC,sub-0128
53,254.0,0.0018587360594795538,NC,sub-0128
54,255.0,0.0008665511265164644,NC,sub-0128
55,1016.0,0.7679767753461366,NC,sub-0128
56,1000.0,0.0028735632183908046,NC,sub-0128
57,1003.0,0.8035423975357234,NC,sub-0128
58,1015.0,0.7708239997242996,NC,sub-0128
59,1006.0,0.7268152408339325,NC,sub-0128
60,1007.0,0.6642773999877474,NC,sub-0128
61,2000.0,0.002004008016032064,NC,sub-0128
62,1008.0,0.7457927845583096,NC,sub-0128
63,2002.0,0.7980504873781554,NC,sub-0128
64,2003.0,0.7108088099204146,NC,sub-0128
65,2005.0,0.6916880263639692,NC,sub-0128
66,2006.0,0.7190029135642603,NC,sub-0128
67,2007.0,0.746486171384157,NC,sub-0128
68,2008.0,0.7772545238801543,NC,sub-0128
69,2009.0,0.668222921171614,NC,sub-0128
70,2010.0,0.6977804803891761,NC,sub-0128
71,2011.0,0.699353584857831,NC,sub-0128
72,2012.0,0.6986195727616257,NC,sub-0128
73,2013.0,0.7023701379139483,NC,sub-0128
74,2014.0,0.6484431051800832,NC,sub-0128
75,2015.0,0.7841517125905434,NC,sub-0128
76,2016.0,0.7858121062722542,NC,sub-0128
77,2017.0,0.8014044597757792,NC,sub-0128
78,2018.0,0.7901188707280832,NC,sub-0128
79,2019.0,0.7331618334892422,NC,sub-0128
80,2020.0,0.7427668982943778,NC,sub-0128
81,2021.0,0.7206846321922796,NC,sub-0128
82,2022.0,0.7903187040330721,NC,sub-0128
83,2023.0,0.775593340417995,NC,sub-0128
84,2024.0,0.8323027454860252,NC,sub-0128
85,2025.0,0.7978683917492975,NC,sub-0128
86,2026.0,0.38781697905181917,NC,sub-0128
87,2027.0,0.7336436514093613,NC,sub-0128
88,2028.0,0.7732218921144003,NC,sub-0128
89,2029.0,0.7348332663720369,NC,sub-0128
90,2030.0,0.6696485352100734,NC,sub-0128
91,2031.0,0.830066827652047,NC,sub-0128
92,1005.0,0.7654604865061115,NC,sub-0128
93,1002.0,0.8171254915981409,NC,sub-0128
94,2034.0,0.8027322404371585,NC,sub-0128
95,2035.0,0.8747899159663866,NC,sub-0128
96,1010.0,0.7632967032967033,NC,sub-0128
97,1013.0,0.73896684173395,NC,sub-0128
98,1014.0,0.7465116279069768,NC,sub-0128
99,1012.0,0.7561628486055777,NC,sub-0128
100,1011.0,0.6779998059947618,NC,sub-0128
