,label,dice,cohort,subject_id
77,2017.0,0.8050665521683126,ET,sub-0081
78,2018.0,0.7288795200259446,ET,sub-0081
79,2019.0,0.740054661402976,ET,sub-0081
80,2020.0,0.8076515953425072,ET,sub-0081
81,2021.0,0.8250100684655658,ET,sub-0081
82,2022.0,0.8666223183103277,ET,sub-0081
83,2023.0,0.8076614842122135,ET,sub-0081
84,1000.0,0.0021321961620469083,ET,sub-0081
85,2024.0,0.8696729227022715,ET,sub-0081
86,2025.0,0.8574841540711848,ET,sub-0081
87,2026.0,0.825481550243676,ET,sub-0081
88,2027.0,0.8171723004486297,ET,sub-0081
89,2028.0,0.8735190189149865,ET,sub-0081
90,2029.0,0.857935268458183,ET,sub-0081
91,2030.0,0.8676389205377779,ET,sub-0081
92,2031.0,0.8264393044065508,ET,sub-0081
93,1005.0,0.8373063973063973,ET,sub-0081
94,1002.0,0.8200514138817481,ET,sub-0081
95,2034.0,0.7910714285714285,ET,sub-0081
96,2035.0,0.8944154998371866,ET,sub-0081
97,1011.0,0.8169437290252087,ET,sub-0081
98,1013.0,0.8243377813184625,ET,sub-0081
99,1014.0,0.8339305572717163,ET,sub-0081
100,1010.0,0.8383222116301239,ET,sub-0081
101,1017.0,0.8613552266419982,ET,sub-0081
102,1012.0,0.8591580708112629,ET,sub-0081
103,1019.0,0.8555633968478005,ET,sub-0081
104,1020.0,0.836977435718034,ET,sub-0081
105,1021.0,0.8413014608233732,ET,sub-0081
106,1022.0,0.8776699980403684,ET,sub-0081
107,1023.0,0.8072959045294277,ET,sub-0081
0,0.0,0.9960378050931006,ET,sub-0016
1,1025.0,0.8006024733114893,ET,sub-0016
2,2.0,0.9570536725217879,ET,sub-0016
3,1026.0,0.73822198562683,ET,sub-0016
4,4.0,0.9737571279415308,ET,sub-0016
5,1028.0,0.7875312979990321,ET,sub-0016
6,1024.0,0.80843998839421,ET,sub-0016
7,7.0,0.9030704197660321,ET,sub-0016
8,8.0,0.9325291761017245,ET,sub-0016
9,1029.0,0.8141640563821456,ET,sub-0016
