,label,dice,cohort,subject_id
97,1010.0,0.8678891134854173,NC,sub-0107
98,1014.0,0.894443771940443,NC,sub-0107
99,1012.0,0.8842556273007061,NC,sub-0107
100,1017.0,0.910455290705007,NC,sub-0107
101,1009.0,0.879265698696014,NC,sub-0107
102,1019.0,0.7566125290023202,NC,sub-0107
103,1020.0,0.8237306843267108,NC,sub-0107
104,1021.0,0.7933016250495442,NC,sub-0107
105,1022.0,0.9121230653431811,NC,sub-0107
106,1023.0,0.9040011114198389,NC,sub-0107
0,0.0,0.9989127039384573,NC,sub-0082
1,1024.0,0.9299528528817473,NC,sub-0082
2,2.0,0.9741681849093672,NC,sub-0082
3,1025.0,0.9026438997521344,NC,sub-0082
4,1028.0,0.9272768421251155,NC,sub-0082
5,1029.0,0.8891520386365748,NC,sub-0082
6,1026.0,0.895825462788062,NC,sub-0082
7,7.0,0.912864,NC,sub-0082
8,8.0,0.9426763463381732,NC,sub-0082
9,4.0,0.9637992062640781,NC,sub-0082
10,10.0,0.9530804037591368,NC,sub-0082
11,11.0,0.9302496328928047,NC,sub-0082
12,12.0,0.934908604547481,NC,sub-0082
13,13.0,0.9022294472828611,NC,sub-0082
14,14.0,0.9549194991055456,NC,sub-0082
15,15.0,0.8837116686579052,NC,sub-0082
16,16.0,0.9504821641918416,NC,sub-0082
17,17.0,0.9286115164440454,NC,sub-0082
18,18.0,0.8686478454680535,NC,sub-0082
19,1035.0,0.9472799064053817,NC,sub-0082
20,1018.0,0.8912532078699743,NC,sub-0082
21,24.0,0.8857290589451913,NC,sub-0082
22,26.0,0.7647619047619048,NC,sub-0082
23,5.0,0.8825363825363826,NC,sub-0082
24,28.0,0.90815649867374,NC,sub-0082
25,30.0,0.022727272727272728,NC,sub-0082
26,31.0,0.7434173669467787,NC,sub-0082
27,41.0,0.9708416685969382,NC,sub-0082
28,42.0,0.3333333333333333,NC,sub-0082
29,43.0,0.9669859103048163,NC,sub-0082
30,44.0,0.8947368421052632,NC,sub-0082
31,46.0,0.9075632952062717,NC,sub-0082
32,47.0,0.9359172275029487,NC,sub-0082
33,1027.0,0.9139280747069343,NC,sub-0082
34,49.0,0.9462924462924462,NC,sub-0082
35,50.0,0.9378554584547094,NC,sub-0082
36,51.0,0.9415231187669991,NC,sub-0082
37,52.0,0.8818006740491093,NC,sub-0082
38,53.0,0.9256339958875942,NC,sub-0082
39,54.0,0.9069767441860465,NC,sub-0082
40,58.0,0.8170955882352942,NC,sub-0082
41,60.0,0.8995878177238379,NC,sub-0082
42,62.0,0.0625,NC,sub-0082
43,63.0,0.7542823390431187,NC,sub-0082
44,1030.0,0.9346050619029754,NC,sub-0082
45,1031.0,0.8928093496297618,NC,sub-0082
46,77.0,0.5946639302206259,NC,sub-0082
47,1034.0,0.8930573523070289,NC,sub-0082
48,85.0,0.009433962264150943,NC,sub-0082
49,251.0,0.0009174311926605505,NC,sub-0082
50,252.0,0.0019267822736030828,NC,sub-0082
51,253.0,0.0024096385542168677,NC,sub-0082
52,254.0,0.0016366612111292963,NC,sub-0082
53,255.0,0.0013315579227696406,NC,sub-0082
54,1016.0,0.8834170854271357,NC,sub-0082
55,1000.0,0.002364066193853428,NC,sub-0082
56,1003.0,0.9082171127026009,NC,sub-0082
57,1015.0,0.9200100300902708,NC,sub-0082
58,1006.0,0.8240425531914893,NC,sub-0082
59,1007.0,0.8982660815583859,NC,sub-0082
60,2000.0,0.0023752969121140144,NC,sub-0082
61,1008.0,0.9050315177594082,NC,sub-0082
62,2002.0,0.7871806569343066,NC,sub-0082
63,2003.0,0.89212479557177,NC,sub-0082
64,2005.0,0.8068634340594987,NC,sub-0082
65,2006.0,0.7635649965365966,NC,sub-0082
66,2007.0,0.8634349182032062,NC,sub-0082
67,2008.0,0.9198452709343987,NC,sub-0082
68,2009.0,0.8501912608503752,NC,sub-0082
69,2010.0,0.8414764621968617,NC,sub-0082
70,2011.0,0.8838080403500964,NC,sub-0082
71,2012.0,0.8887208508147136,NC,sub-0082
72,2013.0,0.8891863654172653,NC,sub-0082
73,2014.0,0.8402480270574971,NC,sub-0082
74,2015.0,0.8912708959921661,NC,sub-0082
75,2016.0,0.8838862559241706,NC,sub-0082
76,2017.0,0.9203618129977387,NC,sub-0082
77,2018.0,0.8536750401759283,NC,sub-0082
78,2019.0,0.870236869207003,NC,sub-0082
79,2020.0,0.8378848873898379,NC,sub-0082
80,2021.0,0.7790758047767393,NC,sub-0082
81,2022.0,0.9039379474940334,NC,sub-0082
82,2023.0,0.8616170881928974,NC,sub-0082
83,2024.0,0.9093789391203625,NC,sub-0082
84,2025.0,0.9140111731843575,NC,sub-0082
85,2026.0,0.7990130103185284,NC,sub-0082
86,2027.0,0.8437280084447573,NC,sub-0082
87,2028.0,0.8966473791695031,NC,sub-0082
88,2029.0,0.8959625972210085,NC,sub-0082
89,2030.0,0.926929091937577,NC,sub-0082
90,2031.0,0.8821426576551415,NC,sub-0082
91,1005.0,0.8921489817792069,NC,sub-0082
92,1002.0,0.8668812507184734,NC,sub-0082
93,2034.0,0.8712047012732616,NC,sub-0082
94,2035.0,0.9470241518113859,NC,sub-0082
95,1011.0,0.9036641096784723,NC,sub-0082
96,1013.0,0.8968713027474694,NC,sub-0082
97,1010.0,0.9104407627383557,NC,sub-0082
98,1014.0,0.8819474835886214,NC,sub-0082
99,1012.0,0.9135286599154459,NC,sub-0082
100,1017.0,0.9222593379896751,NC,sub-0082
101,1009.0,0.8897532082922014,NC,sub-0082
102,1019.0,0.900942362480824,NC,sub-0082
103,1020.0,0.9098050914876691,NC,sub-0082
104,1021.0,0.8485088413829507,NC,sub-0082
105,1022.0,0.9134766413858099,NC,sub-0082
106,1023.0,0.9195258019525802,NC,sub-0082
0,0.0,0.9980498101290642,NC,sub-0124
1,1024.0,0.890621768088363,NC,sub-0124
2,2.0,0.9690687758759192,NC,sub-0124
